

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Belarus",57,"Treated municipal wastewater",4270,2012,0.666,"","[84,85]",""
"Belarus",57,"Capacity of the municipal wastewater treatment facilities",4516,2005,1.35,"","",""
"Belarus",57,"Not treated municipal wastewater",4491,1993,0.111,"I","[86]",""
"Belgium",255,"Produced municipal wastewater",4269,2002,1.249,"","[87,88]",""
"Belgium",255,"Produced municipal wastewater",4269,2007,0.944,"","",""
"Belgium",255,"Produced municipal wastewater",4269,2009,0.874,"","",""
"Belgium",255,"Collected municipal wastewater",4493,1999,0.1501,"","[89]",""
"Belgium",255,"Number of municipal wastewater treatment facilities",4515,1992,256.0,"","",""
"Belgium",255,"Number of municipal wastewater treatment facilities",4515,1997,387.0,"","",""
"Belgium",255,"Number of municipal wastewater treatment facilities",4515,2002,538.0,"","",""
"Belgium",255,"Number of municipal wastewater treatment facilities",4515,2005,569.0,"","",""
"Belgium",255,"Number of municipal wastewater treatment facilities",4515,2012,1222.0,"","",""
"Belgium",255,"Not treated municipal wastewater",4491,2000,0.0439,"","",""
"Belgium",255,"Direct use of treated municipal wastewater",4265,2000,0.003,"","",""
"Belize",23,"Produced municipal wastewater",4269,1994,0.002,"","[90,91]",""
"Bhutan",18,"Produced municipal wastewater",4269,2000,0.0039,"","",""
"Bolivia (Plurinational State of)",19,"Produced municipal wastewater",4269,1992,0.1358,"","",""
"Bolivia (Plurinational State of)",19,"Produced municipal wastewater",4269,2001,0.135,"","[92]",""
"Bolivia (Plurinational State of)",19,"Produced municipal wastewater",4269,2004,0.157,"","",""
"Bolivia (Plurinational State of)",19,"Collected municipal wastewater",4493,2001,,,"[93]",
"Bolivia (Plurinational State of)",19,"Collected municipal wastewater",4493,2007,,,"[94,95]",
"Bolivia (Plurinational State of)",19,"Collected municipal wastewater",4493,2010,,,"[96]",
"Bolivia (Plurinational State of)",19,"Treated municipal wastewater",4270,1992,0.0336,"","",""
"Bolivia (Plurinational State of)",19,"Treated municipal wastewater",4270,2010,,,"[97]",
"Bolivia (Plurinational State of)",19,"Number of municipal wastewater treatment facilities",4515,2011,15.0,"","",""
"Bolivia (Plurinational State of)",19,"Not treated municipal wastewater",4491,1992,0.1022,"I","[98]",""
"Bolivia (Plurinational State of)",19,"Treated municipal wastewater discharged (secondary water)",4510,2003,,,"[99]",
"Bolivia (Plurinational State of)",19,"Treated municipal wastewater discharged (secondary water)",4510,2010,,,"[100]",
"Bolivia (Plurinational State of)",19,"Direct use of not treated municipal wastewater for irrigation purposes",4512,2008,0.0157,"","",""
"Bolivia (Plurinational State of)",19,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2008,1.56,"","",""
